sensor1,sensor2,sensor3,sensor4,sensor5,outcome
862,842,824,927,854,A
874,847,839,931,864,A
864,847,836,931,862,A
863,846,835,930,862,A
863,845,837,929,862,A
861,845,839,929,861,A
861,847,841,929,861,A
853,844,824,928,860,A
845,839,826,927,854,A
847,839,821,927,854,A
847,839,822,926,855,A
851,838,824,924,849,A
846,828,825,917,842,A
848,830,826,917,841,A
849,832,826,919,843,A
853,832,827,920,844,A
851,834,827,920,844,A
852,837,826,921,846,A
849,836,826,921,845,A
848,837,826,922,846,A
849,837,826,920,845,A
848,837,826,920,845,A
848,836,832,920,845,A
847,833,826,916,844,A
848,833,825,916,844,A
848,831,825,916,842,A
854,837,831,919,845,A
844,836,831,919,844,A
860,840,837,922,851,A
850,833,846,912,840,A
849,831,842,913,840,A
849,832,841,913,840,A
849,832,853,917,841,A
849,832,857,916,841,A
848,834,833,916,842,A
847,834,832,917,840,A
776,828,825,903,832,Y
781,846,825,919,841,Y
781,842,827,925,842,Y
779,831,828,918,838,Y
773,828,826,915,837,Y
774,827,836,914,837,Y
774,830,829,913,837,Y
775,834,830,913,837,Y
775,828,834,914,837,Y
775,825,831,914,837,Y
775,824,825,913,837,Y
772,824,825,911,836,Y
775,826,833,921,839,Y
779,827,845,928,838,Y
776,829,825,921,837,Y
777,832,827,921,838,Y
777,827,827,920,840,Y
777,832,828,920,840,Y
777,830,828,916,839,Y
777,827,834,915,839,Y
777,827,833,916,839,Y
777,826,833,916,839,Y
777,827,832,916,839,Y
778,828,833,916,840,Y
778,829,832,919,839,Y
780,832,840,917,840,Y
798,839,835,915,840,Y
813,833,835,915,840,Y
783,831,845,914,840,Y
774,832,838,912,839,Y
774,831,838,913,838,Y
775,834,838,912,838,Y
776,832,838,912,838,Y
777,832,837,912,839,Y
777,832,838,912,839,Y
781,833,837,914,841,Y
789,836,838,913,840,Y
779,835,848,913,840,Y
781,836,843,923,839,Y
775,843,852,918,838,Y
773,839,822,916,838,Y
774,838,827,917,839,Y
774,834,830,917,838,Y
775,831,831,917,839,Y
775,829,832,916,838,Y
776,828,832,916,839,Y
776,825,833,916,838,Y
776,829,832,916,838,Y
776,826,832,915,839,Y
777,824,832,915,839,Y
851,829,889,860,848,Z
860,836,885,857,857,Z
856,835,888,858,854,Z
852,831,888,860,851,Z
854,831,887,860,850,Z
855,832,888,861,851,Z
855,833,887,861,851,Z
854,834,889,862,851,Z
852,833,888,863,851,Z
851,832,889,862,850,Z
845,834,891,860,850,Z
842,833,890,856,848,Z
843,832,888,857,849,Z
841,832,892,857,850,Z
838,831,890,858,849,Z
840,831,888,859,849,Z
840,831,889,859,848,Z
839,831,890,860,849,Z
836,830,889,860,848,Z
835,831,899,860,848,Z
839,829,896,860,848,Z
840,829,894,860,849,Z
838,828,886,860,848,Z
840,829,886,859,849,Z
841,828,884,858,849,Z
841,828,885,859,849,Z
840,828,884,859,849,Z
840,828,885,859,849,Z
840,828,884,859,848,Z
840,828,884,860,849,Z
840,828,885,860,848,Z
840,828,885,860,848,Z
840,828,884,860,848,Z
840,828,884,860,848,Z
840,827,884,860,849,Z
840,828,884,860,849,Z
840,828,884,861,848,Z
840,828,884,860,849,Z
839,828,884,860,848,Z
839,827,883,860,848,Z
840,828,883,858,848,Z
839,827,883,854,848,Z
839,827,883,854,848,Z
838,827,883,854,848,Z
839,827,884,854,848,Z
839,827,883,857,848,Z
838,827,883,859,848,Z
838,827,883,858,848,Z
839,827,883,858,848,Z
839,827,883,859,848,Z
841,828,908,877,845,X
841,828,907,876,845,X
840,827,911,875,844,X
840,827,898,880,844,X
841,827,887,877,843,X
840,829,863,876,843,X
839,828,873,876,843,X
840,828,868,876,843,X
839,827,864,876,842,X
842,827,867,876,842,X
839,826,870,876,843,X
839,826,868,876,842,X
837,826,865,873,842,X
836,825,886,884,841,X
837,825,868,888,840,X
835,824,868,887,841,X
835,825,865,885,840,X
836,823,871,884,841,X
835,823,874,884,841,X
835,823,875,885,841,X
835,823,870,885,841,X
835,822,870,884,841,X
834,822,871,885,841,X
835,823,871,885,841,X
834,822,875,885,841,X
834,822,873,884,841,X
834,821,872,885,840,X
834,821,879,888,840,X
833,821,863,887,840,X
834,821,862,885,840,X
